ID,Date,Long,Lat,Price
271,27/06/2008 00:00,-7.55729,49.7667,190000
272,20/03/2008 00:00,0.045469,51.4601,225000
273,15/02/2008 00:00,-0.318033,51.5985,360000
274,25/07/2008 00:00,0.141943,51.4885,149995
275,21/01/2008 00:00,-7.55729,49.7667,283000
276,25/01/2008 00:00,-0.314758,51.5645,535000
277,22/02/2008 00:00,-0.073151,51.3832,249950
278,01/08/2008 00:00,0.166948,51.4799,200000
279,15/02/2008 00:00,-0.167002,51.42,320000
280,18/07/2008 00:00,-0.23418,51.5957,400000
281,10/01/2008 00:00,-0.141904,51.5472,470000
282,27/06/2008 00:00,-0.185157,51.4174,395000
283,09/05/2008 00:00,-0.140377,51.5931,1525000
284,21/01/2008 00:00,-0.165652,51.5886,146000
285,08/04/2008 00:00,-7.55729,49.7667,600000
286,10/03/2008 00:00,-0.168845,51.4128,291000
287,31/07/2008 00:00,-0.150762,51.4995,2500000
288,20/03/2008 00:00,-7.55729,49.7667,490000
289,23/04/2008 00:00,-0.111101,51.5255,320000
290,01/05/2008 00:00,0.136068,51.4466,338000
291,24/10/2008 00:00,-0.288085,51.3655,203500
292,20/06/2008 00:00,-0.442979,51.6072,420000
293,28/01/2008 00:00,-0.181883,51.5118,1150000
294,14/04/2008 00:00,-0.183483,51.4332,420000
295,10/12/2008 00:00,-0.10915,51.5364,700000
296,16/05/2008 00:00,-0.364475,51.4596,280000
297,25/02/2008 00:00,-0.104081,51.6004,196000
298,28/07/2008 00:00,-0.094894,51.3908,220000
299,27/06/2008 00:00,0.048321,51.4546,155000
300,19/09/2008 00:00,-0.090349,51.5467,325000
301,18/04/2008 00:00,-0.169464,51.4865,530000
302,01/02/2008 00:00,-0.083577,51.6481,414000
303,06/06/2008 00:00,0.116417,51.5646,244000
304,09/05/2008 00:00,-0.381307,51.5806,330000
305,02/05/2008 00:00,-0.063119,51.5986,140000
306,22/09/2008 00:00,-7.55729,49.7667,1250000
307,15/05/2008 00:00,0.217445,51.6042,164000
308,02/05/2008 00:00,0.078216,51.5559,195000
309,04/04/2008 00:00,-0.204041,51.4552,770000
310,11/07/2008 00:00,0.064764,51.5959,360000
311,17/11/2008 00:00,-0.125298,51.4649,480000
312,25/09/2008 00:00,-0.168074,51.5129,1900000
313,02/05/2008 00:00,-0.13982,51.4441,705000
314,28/11/2008 00:00,-7.55729,49.7667,325000
315,25/03/2008 00:00,0.099466,51.5581,300000
316,07/02/2008 00:00,-0.218315,51.5565,225000
